English	Spanish
She has a bad reputation.	Ella tiene una mala reputación.
What did you say yesterday?	¿Qué dijiste ayer?
You only live once.	Sólo se vive una vez.
I thought you'd be interested in this.	Pensé que le interesaría.
He's a doctor of good reputation.	Es un médico acreditado.
The two brothers are very much alike.	Los dos hermanos son muy parecidos.
She left her children in her aunt's care.	Ella dejó a los niños al cuidado de su tía.
I'm busy all the time.	Siempre estoy ocupado.
My hobby is collecting insects.	Mi afición es coleccionar insectos.
I think you're just jealous.	Creo que sólo estás celoso.
Is the school on this side of the river?	¿La escuela está de este lado del río?
Tom was wearing a blue shirt and blue jeans.	Tom llevaba una camisa azul y jeans azules.
Ask an expert.	Pregunta a un experto.
This company has been spying on its employees.	Esta compañía ha estado espiando a sus empleados.
We'll stay here until Monday.	Estaremos aquí hasta el lunes.
He kept me waiting on purpose.	Él me dejó esperando a propósito.
He broke his leg skiing.	Él se rompió la pierna esquiando.
My sister has very good handwriting.	Mi hermana tiene muy buena letra.
We're about to go swimming.	Estamos a punto de irnos a nadar.
I'm already ready.	Ya estoy listo.
She met him three years ago.	Ella le conoció hace tres años.
I asked Tom to sing.	Le pedí a Tom que cantase.
I aimed my gun at the target.	Yo apunté mi revolver al objetivo.
I don't want there to be any trouble.	No quiero que haya ningún problema.
I've read only the first three chapters.	He leído sólo los tres primeros capítulos.
My hobby is reading comics.	Mi pasatiempo es leer los cómics.
I'm not the only one with a child.	No soy el único con un niño.
Believe it or not, I'm not sarcastic this time.	Créeme o no, pero esta vez no estoy siendo sarcástico.
Toss your gun on the ground.	Tira tu pistola al suelo.
I'm going to go sit down.	Voy a ir a sentarme.
Will ten thousand yen do?	¿Es suficiente con 10 mil yenes?
How long have you two been together?	¿Por cuánto han estado juntos?
I don't want to spoil everything.	No quiero arruinar todo.
Tom escaped injury.	Tom evitó males mayores.
Why aren't you smiling?	¿Por qué no sonríes?
I got up early yesterday.	Ayer me levanté pronto.
Mary was buried next to her husband.	Enterraron a Mary junto a su marido.
Some people think French is really hard to learn.	Algunas personas piensan que el francés es realmente difícil de aprender.
After we finish digging the trench, planting the flowers will be easy.	Después de que terminemos de cavar la trinchera, plantar las flores será fácil.
How about another piece of cake?	¿Quieres otro trozo de torta?
I asked them to fix my car.	Les pedí que me arreglaran el coche.
Send the kids to bed.	Manda a los niños a la cama.
Tell me again where Tom is planning to go to college.	Repíteme dónde está pensando Tom en ir a la universidad.
I'm wondering what to cook for dinner.	Me estoy preguntando qué hacer para cenar.
Are you comfortable?	¿Estás cómodo?
He had a hard time making a living.	Pasaba fatigas para ganarse la vida.
We've got a very busy day ahead of us.	Hoy vamos a tener un día bastante ajetreado.
Who were you talking with?	¿Con quién estabas hablando?
I'd like you to read this book.	Me gustaría que leyeras este libro.
I'm bald.	Estoy calvo.
My father is expecting you to phone him tomorrow.	Mi padre espera que le llames mañana.
I don't want any more.	Ya no quiero más.
When I grow up, I want to be just like you.	Cuando crezca quiero ser como tú.
Tom has had enough.	Tom ya ha tenido más de la cuenta.
You lied to us.	Nos mentiste.
The law is clear.	La ley es clara.
Tom had drunk too much coffee so he couldn't sleep.	Tom tomó mucho café así que no pudo dormir.
She is friendly to everybody.	Ella es amable con todo el mundo.
This train is bound for Boston.	Este tren va a Boston.
Nothing can stop them.	Nada puede pararlos.
What's your favorite iPad app?	¿Cuál es tu aplicación favorita para iPad?
It is true he is rich, but he is a miser.	Es cierto que él es rico, pero es un miserable.
He wants to be a doctor in the future.	Él quiere ser doctor en el futuro.
Tom rescued Mary.	Tom rescató a Mary.
Tom yelled.	Tom gritó.
Tom left Mary's bag in the car.	Tom dejó el bolso de Mary en el coche.
Tom answered the phone.	Tom contestó el teléfono.
I don't blame them.	No los culpo.
Tom shouldn't have told Mary what John did.	Tom no debería haberle contado a Mary lo que John hizo.
I'm still not very good at volleyball.	Aún no soy muy bueno al vóleibol.
Why don't we just sit here and talk?	¿Por qué no solo nos sentamos aquí y charlamos?
Did you go to the last class?	¿Fuiste a la última clase?
I assure you that an error like this will never happen again.	Te aseguro que un error así no sucederá nunca más.
Tell her that I am listening to music.	Decile que estoy escuchando música.
Do you want me to explain it to you?	¿Querés que te lo explique?
Tom is spreading butter on the bread.	Tom está untando manteca en el pan.
Tom did it for fun.	Tom lo hizo por diversión.
Thank you for your gift.	Gracias por el regalo.
Walking along the street, I found a wallet.	Caminando por la calle, me encontré una cartera.
I wish there were more people like you.	Me gustaría que hubiera más gente como tú.
What do you like about her?	¿Qué te gusta de ella?
The man denied that he took the money.	El hombre negó haber tomado el dinero.
All of us should go.	Todos deberíamos ir.
I'm sure you'll be very comfortable there.	Estoy segura de que estarás muy cómodo allá.
It's the perfect moment for a kiss.	Es el momento perfecto para un beso.
I stayed indoors because it rained.	Me quedé en casa porque estaba lloviendo.
Switzerland is a neutral country.	Suiza es un país neutral.
Someone entered the room.	Alguien entró en la habitación.
I've always wanted to meet you.	Siempre quise conocerlos.
He has always understood our problems right away.	Él siempre ha entendido nuestros problemas de una.
He quietly knocked on the door.	Él golpeó suavemente a la puerta.
If the list of books is too long, please leave out all foreign books.	Si la lista de libros es extremadamente larga, por favor, excluye todos los libros extranjeros.
Tom and Mary exchanged numbers at the party.	Tom y Mary intercambiaron sus números en la fiesta.
You look nice in that red sweater.	Te ves bien en ese suéter rojo.
Tom seems desperate.	Tom parece estar desesperado.
Hi, guys.	Hola por aquí.
Tom told me he needed some time to himself.	Tom me dijo que necesitaba tomarse algo de tiempo.
Do you think our climate has an influence on our character?	¿Crees que nuestro clima influye en nuestro carácter?
Tom said that he wanted to make Mary happy.	Tom dijo que quería hacer feliz a Mary.
Red is better.	El rojo es mejor.
He avoided meeting her on the way.	Él evitó encontrarla en el camino.
Tom is counting on Mary's help.	Tom cuenta con la ayuda de Mary.
This is my question.	Esta es mi pregunta.
I guess Tom forgot to tell you.	Supongo que a Tom se le olvidó decirte.
Tom just did that for spite.	Tom hizo eso solo por despecho.
Do you have any idea how unhealthy that is?	¿Tienes alguna idea de lo perjudicial que es?
The house is on fire!	¡La casa se está incendiando!
The girl did nothing but cry.	La niña no hizo nada más que llorar.
Mary has already left on her trip.	Mary se marchó ya a su viaje.
Excuse me, would you show me how to use the washing machine?	Perdone, ¿le importaría enseñarme cómo se usa la lavadora?
Tom doesn't actually live within Boston city limits.	Tom realmente no vive dentro de los límites de la ciudad de Boston.
Could you stay a minute?	¿Puede permanecer un minuto?
Tom knew that Mary was innocent.	Tom sabía que Mary era inocente.
Tom isn't much taller than you.	Tom sólo es un poco más alto que tú.
You can't win all the time.	No puedes triunfar siempre.
I want to make a pie.	Quiero hacer una torta.
This is very helpful.	Esto ayuda mucho.
When was the last time you smelled gas in this room?	¿Cuándo fue la última vez que oliste gas en esta pieza?
They are very kind to me.	Son muy amables conmigo.
I need your signature here.	Necesito su firma aquí.
Children learn from adults.	Lo niños aprenden de los grandes.
They came in.	Entraron.
I'm expecting a call.	Espero una llamada.
That student runs fast, doesn't he?	Ese estudiante corre rápido, ¿no?
Today isn't Monday.	Hoy no es lunes.
Where are your clothes?	¿Dónde está tu ropa?
I bet you didn't know that.	Estoy seguro de que no lo sabías.
Tom doesn't care what happens.	A Tom no le importa lo que suceda.
Have you ever been to an opera?	¿Has ido alguna vez a una ópera?
My left foot just fell asleep.	Se me durmió el pie izquierdo.
He did the right thing.	Hizo lo correcto.
I paid for the tickets.	Yo pagué las entradas.
Reading books will make you smarter.	Leer libros le hará más inteligente.
Are you cooking tonight?	¿Vas a cocinar esta noche?
I must seize this opportunity.	Debo atrapar esta oportunidad.
Do you have any grandchildren?	¿Tienes nietos?
I study French at home.	Estudio francés en casa.
Tom died in prison ten years ago.	Tom murió en prisión hace diez años atrás.
I saw a little boy running.	Vi a un niñito corriendo.
Dwight Eisenhower was the candidate for president.	Dwight Eisenhower era el candidato a la presidencia.
I need to rest a moment.	Necesito descansar un momento.
Tom looks baffled.	Tom parece confuso.
You have to be joking.	Tienes que estar bromeando.
I'll boil the potatoes for you.	Herviré las papas por ti.
She always has her hair done by a famous hairdresser.	Ella siempre se hace peinar por un famoso peluquero.
The lighting is poor in this part of the city.	Hay muy poco alumbrado en esta parte de la ciudad.
Mary seldom uses nail polish.	Mary rara vez usa esmalte de uñas.
Excuse me for a moment.	Disculpa un segundo.
Tom still hasn't quite learned the rules of the game.	Tom todavía no se ha aprendido del todo las reglas del juego.
She resembles her mother in every respect.	Ella se asemeja a su madre en todos los sentidos.
I want to tell you something important.	Quiero decirte algo importante.
The kid already speaks pretty well.	El niño ya habla bastante bien.
Sometimes we do what we have to do, not what we want to do.	A veces hacemos lo que debemos hacer, no lo que queremos hacer.
Don't try anything funny.	No intentes nada extraño.
Tom wasn't the one who borrowed my car.	Tom no fue el que me pidió prestado el carro.
They painted the fence green.	Ellos pintaron la cerca de verde.
"Is he lying? ""Obviously."""	"""¿Él está mintiendo?"" ""Obviamente."""
Their names escaped me.	No conseguí recordar sus nombres.
Nobody will know.	Nadie sabrá.
Tom is crying.	Tomás está llorando.
During the war, people went through many hardships.	Durante la guerra, la gente pasó muchos apuros.
The bartender threw Tom out of the bar.	El camarero lo echó a Tom fuera del bar.
He kissed her.	La besó.
Do you think this is interesting?	¿Les parece interesante?
Now let's begin the game.	Ahora vamos a comenzar el juego.
That child felt secure in his mother's arms.	El niño se sentía seguro en los brazos de su madre.
There are some things that I don't understand.	Hay algunas cosas que no entiendo.
Tom makes Mary happy.	Tom la hace feliz a Mary.
I closed the door quietly so I wouldn't wake the baby up.	Cerré suavemente la puerta para no despertar al bebé.
I asked her to wait a minute.	Le pedí que esperara un momento.
She doesn't know how to swim.	No sabe nadar.
It is on this point that our opinions differ.	A partir de aquí nuestras opiniones difieren.
We can talk about it later.	Podemos hablar de ello más tarde.
He is a cheerful old man.	Él es un anciano alegre.
Tom is very good at videogames.	A Tom se le da muy bien jugar a los videojuegos.
Tom lives in a three-bedroom house on the outskirts of Boston.	Tom vive en una casa de tres dormitorios en las afueras de Boston.
Tom dried his eyes.	Tom se secó los ojos.
I hear a dog barking in the woods.	Oigo a un perro ladrando en el bosque.
Although he's young, he's an outstanding doctor.	Pese a ser joven, es un médico notable.
I never expected Tom to get out of prison.	Yo no esperaba que Tom saliera de la cárcel.
The sun sets earlier in the winter.	El sol se oculta más temprano en invierno.
I want to finish what I'm doing before I go home.	Quiero terminar lo que estoy haciendo antes de marcharme a casa.
I don't want this one.	No quiero ésta.
I'll bring wine.	Traeré vino.
We are in agreement on this subject.	Estamos de acuerdo en esta materia.
I'll send you the link.	Le enviaré el enlace.
I will return the book as soon as I can.	Devolveré el libro en cuanto pueda.
Tom blames you for the death of his wife.	Tom te culpa por la muerte de su esposa.
It's dangerous to climb this mountain.	Es peligroso escalar esta montaña.
Sweating allows the human body to regulate its temperature.	El sudor permite regular la temperatura corporal.
Everyone is more or less conceited.	Todo el mundo es más o menos vanidoso.
Communism was the biggest issue in the campaign.	El comunismo fue el mayor asunto en la campaña.
Tom paid a $300 fine.	Tom pagó una multa de $300.
Please don't stop.	Por favor, no pares.
I outrank you.	Yo te supero en rango.
Skiing is my favorite sport.	El esquí es mi deporte favorito.
Do you like pork loin?	¿Le gusta el lomo de cerdo?
Tom is a nice guy with a big heart.	Tom es un chico bueno con un gran corazón.
She dressed like a boy.	Ella se vestía como un niño.
Don't do it again.	No lo vuelvas a hacer.
What about the other one?	¿Y la otra?
She was blind, deaf, and dumb.	Ella era ciega, sorda y muda.
You've changed.	Has cambiado.
I don't mind it at all.	No me importa en absoluto.
Let's be friends.	Seamos amigos.
I wouldn't do it for the world.	No lo haría por nada del mundo.
I saw everything.	Lo vi todo.
Let's stand up.	Levantémonos.
How much more food is there?	¿Cuánta comida más hay?
Tom took a sip of lemonade.	Tom bebió un sorbo de limonada.
She came back in about thirty minutes.	Ella volvió después de más o menos media hora.
We can't sleep because of the noise.	No podemos dormir por el ruido.
Tom calculated that he had given Mary over 34,000 dollars in the past six months.	Tom calculó que había dado a Mary sobre 34.000 dólares en los últimos seis meses.
She'd like him to come to her house at 2:30.	A ella le gustaría que él fuera a su casa a las 2:30.
Tom accidentally ate some rat poison.	Tom tomó raticida por accidente.
Tom stroked his beard.	Tom se acarició su barba.
What's your position?	¿Qué piensas?
I must destroy you.	Debo destruirte.
Tom is very happy to see Mary.	Tom está muy feliz de ver a Mary.
I've always thought you were a Canadian.	Siempre he pensado que eras canadiense.
Tom is aware of the danger.	Tom está al tanto del peligro.
Frankly speaking, he is an unreliable man.	Hablando francamente, él no es un hombre de fiar.
Don't lose heart.	No te desanimes.
He would often sit here for hours doing nothing.	Se sentaría aquí con asiduidad durante horas sin hacer nada.
How many boys are there in your class?	¿Cuántos chicos hay en tu clase?
Her explanation of the problem was nonsense.	Su explicación del problema no tenía sentido.
Tom is the one who broke the window yesterday.	Tom es el que rompió la ventana ayer.
By the way, do you know a good restaurant around here?	A propósito, ¿no conocerás algún buen sitio para comer por aquí?
Tom was hoping to get a kiss.	Tom esperaba conseguir un beso.
Am I speaking too quickly?	¿Estoy hablando demasiado rápido?
He's an animal.	Él es un animal.
Sega used to make video game consoles a long time ago.	Sega solía fabricar consolas de videojuego hace mucho tiempo.
I can't wait for you.	No puedo esperarte.
I thought this building was abandoned.	Pensé que este edificio estaba abandonado.
They had fun with us.	Ellos se divirtieron con nosotros.
You did that on purpose.	Lo hiciste a propósito.
My mother bakes bread every morning.	Mi madre hornea pan todas las mañanas.
It will snow tomorrow.	Nevará mañana.
I don't want to go back home.	No quiero volver a casa.
Tom has a lot of work to do this week.	Tom tiene un montón de trabajo esta semana.
Tom was lured into a trap.	A Tom le hicieron caer en una trampa.
Even smart people are sometimes absent-minded.	Incluso la gente lista se despista algunas veces.
What makes you think Tom is in trouble?	¿Qué te hace pensar que Tom está en problemas?
How much should my daughter be eating?	¿Cuánto debería estar comiendo mi hija?
This gift is for my friend.	Este regalo es para mi amigo.
Frankly speaking, I don't like you.	Sinceramente, no me gustas.
Write your goals down on a sheet of paper.	Escribe en una hoja de papel tus objetivos.
They achieved their goal.	Consiguieron su objetivo.
He hit me back.	Él me regresó el golpe.
I go to bed early.	Me acuesto temprano.
Tom's room is empty.	La habitación de Tom está vacía.
I will miss you all.	Os echaré de menos a todos.
Who are your closest friends?	¿Quiénes son tus amigos más cercanos?
He begged me to stay.	Él me imploró que me quedase.
This just came in for you.	Esto acaba de llegar para ti.
It was at school.	Fue en la escuela.
She went with him to the zoo.	Ella fue al zoo con él.
Nobody wants it.	Nadie lo quiere.
Can I talk to Tom?	¿Puedo hablar con Tom?
Help Tom out.	Ayúdale a Tom.
The hen hatched five eggs.	La gallina puso cinco huevos.
I need an extra pillow.	Necesito una almohada extra.
Why did you get so angry?	¿Por qué te enfadaste tanto?
Tom sat on a stool at the counter.	Tom se sentó en un taburete en el mostrador.
Why should I believe you?	¿Por qué debería creerte?
That's not a solution.	No es una solución.
Excuse me, could you pass me the sugar?	Disculpe, ¿podría acercarme el azúcar?
Watch my fingers.	Mirá mis dedos.
I want to go there again.	Quiero ir ahí una otra vez.
Prices are higher here than in Australia.	Los precios son más altos aquí que en Australia.
Please don't kill me.	Por favor, no me mates.
She quickly opened the letter.	Abrió la carta rápidamente.
I've known Tom for a long time.	Hace mucho tiempo que conozco a Tom.
Tom's lunch includes a sandwich and an apple.	El almuerzo de Tom incluye un sándwich y una manzana.
He doesn't know what he's supposed to do.	No sabe qué tiene que hacer.
I want to go out with her.	Quiero salir con ella.
Tom can't help you.	Tom no puede ayudarte.
She was married to a rich man.	Ella era casada con un hombre rico.
Let's turn off the television.	Apaguemos la tele.
What else do you need?	¿Qué más necesitas?
Tom got an emergency call and had to leave work.	Tom recibió una llamada de emergencia y debió retirarse del trabajo.
We've run out of water.	Nos quedamos sin agua.
I'll give this apple to whoever wants it.	Daré esta manzana a quien la quiera.
Tom wrote a love letter to Mary, but she didn't read it.	Tom le escribió una carta de amor a Mary, pero ella no la leyó.
Do you like it with mayonnaise?	¿Te gusta con mayo?
You can't imagine how happy I was.	No puedes imaginarte lo contento que estaba.
Would you like for me to leave?	¿Quieres que me vaya?
Tom knows some words in French.	Tom sabe algunas palabras en francés.
Why don't you just admit that you were wrong?	¿Por qué no admitís que estabas equivocado?
I expect him to come at any moment.	Yo espero que el venga en cualquier momento.
I don't have enough RAM.	No tengo suficiente RAM.
Everyone thinks so.	Todos lo creen así.
She married a rich old man.	Ella se casó con un anciano rico.
The color is purple rather than pink.	El color es más púrpura que rosado.
Crocodiles have sharp teeth.	Los cocodrilos tienen dientes afilados.
We are here.	Estamos aquí.
She cleaned her room in a hurry.	Ella limpió su habitación con prisa.
I'm leaving for Boston.	Me voy a Boston.
Come outside.	Sal fuera.
Don't forget to take your umbrella when you go out.	No te olvides de coger el paraguas cuando salgas.
Tom is someone who can't be trusted.	Tom es una persona en la que no se puede confiar.
I thought you said your car was stolen.	Pensé que habías dicho que tu auto había sido robado.
We can drive in Japan when we are eighteen years old.	Podemos manejar en Japón a los 18 años.
That cat is brown.	Aquel gato es café.
You should help your father.	Deberías ayudar a tu padre.
I played tennis.	Yo jugaba al tenis.
What is the correct answer?	¿Cuál es la respuesta correcta?
I want my mother to get well soon.	Quiero que mi madre mejore pronto.
Tom made it look easy.	Tom lo hizo ver fácil.
Where will you be staying?	¿Dónde os quedaréis?
I am not going to betray you.	No voy a traicionarte.
Are you just going to stand there all day?	¿Vas a estar parado ahí todo el día?
Was that your plan?	¿Ese era tu plan?
Hold on to my arm.	Agárrese a mi brazo.
I agree to his plan.	Yo estoy de acuerdo con su plan.
What's your least favorite food?	¿Cuál es la comida que menos te gusta?
I don't like that sentence.	No me gusta esa frase.
I am all ears.	Soy todo oídos.
Have you finished breakfast yet?	¿Ya has acabado de desayunar?
That's a blue house.	Esa es una casa azul.
Tom thinks his country is the greatest country in the world.	Tom cree que su país es el mejor del mundo.
She smiled at him.	Ella le sonrió.
She's not a child.	No es una niña.
I asked them how dinner was, but nobody answered me.	Les pregunté qué tal estaba la cena, pero no me respondió nadie.
That's exactly what he said.	Él dijo exactamente eso.
My boss has never invited me to her house.	Mi jefa no me ha invitado nunca a su casa.
I cannot answer so many questions at a time.	No puedo responder tantas preguntas a la vez.
May the new year bring you happiness!	Que el nuevo año te traiga alegría.
These are my friends.	Estos son mis amigos.
Is there a doctor on board?	¿Hay un doctor a bordo?
Has the climate changed?	¿Ha cambiado el clima?
I hope he'll be able to come! I'd like to see him.	¡Espero que él consiga venir! Me gustaría verle.
Why did you come?	¿Por qué vinieron ustedes?
Our English teacher put emphasis on pronunciation.	Nuestro profesor de inglés le pone énfasis a la pronunciación.
I've lost my dignity.	Perdí mi dignidad.
He often cuts classes on Monday and Saturday.	Él a menudo falta a clases los lunes y los sábados.
My dad owns a lot of books.	Mi padre tiene un montón de libros.
Tom is going to sit here.	Tom se va a sentar aquí.
I'm drinking milk.	Estoy bebiendo leche.
Sometimes she tried talking to him about India.	Ella a veces trataba de hablarle acerca de India.
Keep your ears open.	Mantente alerta.
She stood as close to him as she could.	Ella se paró tan cerca de él como pudo.
I love you.	Te quiero.
We spent the afternoon cleaning our gear.	Pasamos la tarde limpiando el equipo.
Stay out of my way.	Sal de mi camino.
Tom can't stay.	Tom no puede quedarse.
I can't complain.	No me puedo quejar.
They bumped against each other.	Colisionaron el uno con el otro.
Tom explained his plan in detail.	Tom explicó su plan en detalle.
I shouldn't have to do that again.	No debería tener que hacer eso de nuevo.
I had been working for two hours when I suddenly felt sick.	Yo había trabajado por dos horas cuando de repente me sentí enfermo.
I don't need to do that, but I will.	No es necesario que lo haga, pero lo haré.
Did you help?	¿Ayudabais?
I remember hearing the story once.	Recuerdo ya haber oído esa historia una vez.
I'm not yet ready to do that.	Aún no estoy listo para hacer eso.
You're tired.	Estás cansada.
Tom doesn't want to join our group.	Tom no quiere unirse a nuestro grupo.
He has a strange name.	Tiene un nombre extraño.
You got here fast.	Llegaste rápido.
If you see his house, you'll know that he is poor.	Si ves su casa, sabrás que él es pobre.
The only reason Tom went to the party was that he expected Mary to be there.	La única razón por la que Tom fue a la fiesta es que esperaba que Mary estuviera allí.
Two weeks ago, I visited Disneyland for the first time.	Hace dos semanas atrás visité Disneylandia por primera vez.
I don't see it.	No lo veo.
It's time to go to bed.	Ya es hora de dormir.
Tom ran away from home.	Tom huyó de casa.
Compare the two carefully, and you will see the difference.	Compara ambos atentamente y verás la diferencia.
It is going to rain soon.	Va a llover dentro de poco.
Tom thought that Africa was a country.	Tom pensó que África era un país.
She warned the children against playing in the street.	Ella advirtió a los niños de que no jugasen en la calle.
He was stoned.	Él fue apedreado.
Tom turned on the radio.	Tom prendió el radio.
Please don't be sad any more.	Por favor no sigas triste.
Tom is very interested in learning French.	Tom está muy interesado en aprender francés.
Tom has long hair.	Tomás tiene pelo largo.
I was tempted to skip class and go home early.	Tuve la tentación de saltarme la clase e irme a casa pronto.
Could you talk a little slower?	¿Me puedes hablar un poco más despacio?
I happen to agree with Tom.	Por cierto, estoy de acuerdo con Tom.
I'll just go for a walk to clear my head.	Voy a ir a dar un paseo para despejar mi cabeza.
You can put it there.	La puedes poner allí.
Tom didn't know Mary was at the club.	Tom no sabía que Mary estaba en el club.
I broke my leg.	Me rompí la pierna.
The dog wouldn't let go of the ball.	El perro no quería soltar la pelota.
Are you saying that I don't have a brain?	¿Quieres decir que yo no tengo cerebro?
You may stay here if you want to.	Puedes quedarte si quieres.
She let the secret out.	Ella divulgó el secreto.
Tom never thought of the future.	Tom nunca pensó en el futuro.
You're completely right.	Tienes toda la razón.
Tom doesn't have what it takes to be a race car driver.	Tom no tiene lo que se necesita para ser piloto de carreras.
It's past the square.	Es más arriba de la plaza.
I've heard of him, but I don't know him personally.	He oído hablar de él pero no le conozco personalmente.
Wherever you go, I will follow.	Adondequiera que vayas, te seguiré.
Tom cooks for Mary.	Tom cocina para Mary.
The girl lacked musical ability.	A la niña le faltaba talento para la música.
I regret not paying attention.	Me arrepiento de no haber hecho caso.
Evaporation from oceans, lakes, and rivers creates 90% of the water in air.	La evaporación de los océanos, lagos y ríos crea el 90% del agua en el aire.
Mary picked a flower and put it in her hair.	Mary cogió una flor y se la puso en el pelo.
I can't come now.	Ahora mismo no puedo ir allí.
He stood over there for a long time.	Se quedó allí por mucho tiempo.
I changed my shirt.	Me cambié de camisa.
My cousin is having a baby next month.	Mi prima va a tener un hijo el mes que viene.
They waited.	Esperaron.
It's not an easy sport.	No es un deporte fácil.
Money does not grow on trees.	El dinero no crece en los árboles.
Someone's coming.	Viene alguno.
He gets a haircut once a month.	Él se corta el pelo una vez por mes.
He knows a lot of people.	Él conoce a mucha gente.
I couldn't have predicted this happening.	No podía prever este evento.
Tom owed Mary money.	Tom le debía dinero a Mary.
Tom was the subject of numerous jokes.	Tom fue objeto de numerosas bromas.
He will do his best.	Él hizo su mejor esfuerzo.
He is too sensitive.	Es demasiado sensible.
Prices went up.	Los precios subieron.
I got a letter from an old friend yesterday.	Ayer recibí una carta de un viejo amigo.
Everyone uses escalators.	Todo el mundo usa las escaleras mecánicas.
Oh, sure, I studied English in my school days. But it wasn't until two or three years ago that I really started taking it seriously.	Oh, por supuesto, estudié inglés en la escuela. Pero no fue hasta hace un par de años o tres que realmente empecé a tomármelo en serio.
I want a new tennis racket.	Quiero una raqueta de tenis nueva.
There's nothing else to do.	No queda nada que hacer.
My brother has joined the baseball club.	Mi hermano se unió al club de béisbol.
Elephants can't ride bicycles.	Los elefantes no pueden andar en bicicleta.
Why are you looking at me?	¿Por qué me miras?
Now then, let's get this problem cleared up.	Ahora bien, hay que aclarar este problema.
She was wearing a black hat.	Usaba sombrero negro.
Let's pull an all-nighter.	Trasnochemos.
He has a natural bent for music.	Él tiene una inclinación natural por la música.
Chances are that I will be late for work.	Es probable que llegue tarde al trabajo.
Tom felt the urge to run away.	Tom sintió el impulso de salir corriendo.
They're laughing.	Se están riendo.
It's worse than I thought.	Es peor de lo que pensaba.
The new computer is ten times as fast as the old one.	La nueva computadora es diez veces más rápida que la antigua.
I was only saying my prayers.	Solo estaba rezando mis oraciones.
I won an award as well.	Yo también gané un premio.
May I eat that cake?	¿Puedo comerme ese pastel?
It was very difficult to tell the twins apart.	Era muy difícil distinguir a los gemelos.
My best friend dances really well.	Mi mejor amigo baila realmente bien.
That island has a tropical climate.	Esa isla tiene un clima tropical.
None of my friends know.	Ninguna de mis amigas lo sabe.
He knows how to make women cry.	Él sabe cómo hacer llorar a las mujeres.
This isn't a handout.	Esto no es un folleto.
Tom doesn't know how to express his feelings.	Tom no sabe cómo expresar sus sentimientos.
This is the fish he caught.	Este es el pez que pescó.
Can you help me find my daughter?	¿Puedes ayudarme a encontrar a mi hija?
My home is my castle.	Mi hogar es mi castillo.
Fill out this form.	Complete este formulario.
Food prices are at their highest level since the United Nations Food and Agriculture Organization began keeping records in 1990.	El precio de los alimentos está en su nivel más alto desde que la Organización de Comida y Agricultura de las Naciones Unidas comenzó a registrarlos en 1990.
Tell me about it.	¡Dímelo a mí!
I like this color.	Me gusta este color.
We have to tell the truth.	Tenemos que decir la verdad.
I am very reasonable with my employees.	Soy muy razonable con mis empleados.
